Honduras,Claro Honduras,504,708,04,0.0257,New Breakout
Honduras,Claro Honduras,504,708,01,0.0257,New Breakout
Honduras,Celtel,504,708,02,0.1125,New Breakout
Honduras,All Networks,504,708,,0.0195,New Breakout
Iceland,All networks,354,274,,0.0715,
Iceland,Siminn,354,274,01,0.0508,
Iceland,Nova,354,274,11,0.0447,
Iceland,Vodafone Iceland,354,274,02,0.0715,
Iceland,Vodafone Iceland,354,274,03,0.0715,
Ireland,3 Ireland,353,272,02,0.0554,
Ireland,3 Ireland,353,272,05,0.0554,
Ireland,All networks,353,272,,0.0585,
Ireland,Eir Telecom,353,272,03,0.0554,
Ireland,Eir Telecom,353,272,07,0.0554,
Ireland,LycaMobile,353,272,13,0.0539,
Ireland,Tesco Mobile Ireland,353,272,11,0.0585,
Ireland,Virgin Ireland,353,272,15,0.047,
Ireland,Vodafone Ireland,353,272,01,0.0539,
Ireland,Sky Ireland,353,272,25,0.0585,
Ireland,Carphone Ireland,353,272,16,0.0585,
Italy,Acotel,39,222,52,0.0382,
Italy,Commify Italia,39,222,45,0.0382,
Italy,ENEL,39,222,42,0.0382,
Italy,Fastweb,39,222,08,0.0382,
Italy,ILIAD,39,222,50,0.0382,
Italy,Intermatica,39,222,04,0.0382,
Italy,Lycamobile,39,222,35,0.0382,
Italy,Mass Response,39,222,56,0.0382,
Italy,Mundio,39,222,44,0.0382,
Italy,Noverca,39,222,07,0.0382,
Italy,Plintron,39,222,54,0.0382,
Italy,Poste Mobile,39,222,33,0.0382,
Italy,RFI,39,222,30,0.0382,
Italy,TIM,39,222,01,0.0382,
Italy,TIM,39,222,34,0.0382,
Italy,TIM,39,222,36,0.0382,
Italy,TIM,39,222,43,0.0382,
Italy,TIM,39,222,48,0.0382,
Italy,TIM,39,222,53,0.0382,
Italy,VEI,39,222,51,0.0382,
Italy,Vodafone Italy,39,222,10,0.0382,
Italy,Welcome Italia,39,222,49,0.0382,
Italy,Wind,39,222,88,0.0382,
Italy,3 Italy,39,222,99,0.0382,
Italy,All Networks,39,,,0.0382,
Latvia,Bite Latvija,371,247,05,0.0305,
Latvia,Bite Latvija,371,247,07,0.0305,
Latvia,Bite Latvija,371,247,08,0.0305,
Latvia,LMT,371,247,01,0.0305,
Latvia,LMT,371,247,10,0.0305,
Latvia,Tele2 Latvia,371,247,02,0.0305,
Latvia,Venta Mobile,371,247,03,0.0305,
Latvia,Xomobile,371,247,09,0.0305,
Latvia,All Networks,371,,,0.0305,
Lithuania,Bite Lietuva,370,246,02,0.0409,
Lithuania,Mediafon CS,370,246,06,0.0413,
Lithuania,Tele2 Lithuania,370,246,03,0.0413,
Lithuania,Telia Lithuania,370,246,01,0.0409,
Lithuania,All Networks,370,,,0.0378,
Luxembourg,MTX Connect,352,270,02,0.0887,
Luxembourg,Orange Luxembourg,352,270,99,0.0444,
Luxembourg,LuxGSM,352,270,01,0.0455,
Luxembourg,Tango Luxembourg,352,270,77,0.0844,
Luxembourg,e-Lux,352,270,81,0.0887,
Luxembourg,All Networks,352,,,0.0887,
Mexico,Unefon,52,334,80,0.0068,New Breakout
Mexico,Unefon,52,334,70,0.0068,New Breakout
